prop,nombre,perfil,proposito
Apto_Centro_1,Apartamento Ejecutivo La Paz,Dual,ViajeTrabajo
Apto_Centro_2,Apartamento Moderno 2,Individual,ViajeEstudios
Apto_Centro_3,Apartamento Moderno 3,Dual,ViajeTrabajo
Hab_Compartida_1,Cama en Habitación Compartida Mochileros,Individual,ViajeEstudios
Hab_Compartida_2,Cama en Hostal 2,Individual,ViajeEstudios
Hab_Compartida_4,Cama en Hostal 4,Individual,ViajeEstudios
Hab_Compartida_5,Cama en Hostal 5,Individual,ViajeEstudios
Casa_Urbana_2,Casa Acogedora 2,Dual,ViajeTrabajo
Hab_Privada_2,Habitacion Confort 2,Individual,ViajeEstudios
Hab_Privada_4,Habitacion Confort 4,Individual,ViajeEstudios
